join_key,embedding_path,company,year,252_day_return
3M CO_2010,data_embeddings\3M CO\3M CO_item_7_2010.npy,3M CO,2010,1.1713775331023613
3M CO_2011,data_embeddings\3M CO\3M CO_item_7_2011.npy,3M CO,2011,0.9747180891645502
3M CO_2012,data_embeddings\3M CO\3M CO_item_7_2012.npy,3M CO,2012,1.2078328107441536
3M CO_2013,data_embeddings\3M CO\3M CO_item_7_2013.npy,3M CO,2013,1.315024062334603
3M CO_2014,data_embeddings\3M CO\3M CO_item_7_2014.npy,3M CO,2014,1.3054556570096267
3M CO_2015,data_embeddings\3M CO\3M CO_item_7_2015.npy,3M CO,2015,0.9534262439897488
3M CO_2016,data_embeddings\3M CO\3M CO_item_7_2016.npy,3M CO,2016,1.2110771677693248
3M CO_2017,data_embeddings\3M CO\3M CO_item_7_2017.npy,3M CO,2017,1.2937426882005372
3M CO_2018,data_embeddings\3M CO\3M CO_item_7_2018.npy,3M CO,2018,0.9251717952991637
3M CO_2019,data_embeddings\3M CO\3M CO_item_7_2019.npy,3M CO,2019,0.8283035764408612
ABBOTT LABORATORIES_2010,data_embeddings\ABBOTT LABORATORIES\ABBOTT LABORATORIES_item_7_2010.npy,ABBOTT LABORATORIES,2010,0.8821360285066674
ABBOTT LABORATORIES_2011,data_embeddings\ABBOTT LABORATORIES\ABBOTT LABORATORIES_item_7_2011.npy,ABBOTT LABORATORIES,2011,1.2422105959419196
ABBOTT LABORATORIES_2012,data_embeddings\ABBOTT LABORATORIES\ABBOTT LABORATORIES_item_7_2012.npy,ABBOTT LABORATORIES,2012,1.3257055582017974
ABBOTT LABORATORIES_2013,data_embeddings\ABBOTT LABORATORIES\ABBOTT LABORATORIES_item_7_2013.npy,ABBOTT LABORATORIES,2013,1.1292979018037546
ABBOTT LABORATORIES_2014,data_embeddings\ABBOTT LABORATORIES\ABBOTT LABORATORIES_item_7_2014.npy,ABBOTT LABORATORIES,2014,1.245930967705054
ABBOTT LABORATORIES_2015,data_embeddings\ABBOTT LABORATORIES\ABBOTT LABORATORIES_item_7_2015.npy,ABBOTT LABORATORIES,2015,0.8362110623695888
ABBOTT LABORATORIES_2016,data_embeddings\ABBOTT LABORATORIES\ABBOTT LABORATORIES_item_7_2016.npy,ABBOTT LABORATORIES,2016,1.1891310001091637
ABBOTT LABORATORIES_2017,data_embeddings\ABBOTT LABORATORIES\ABBOTT LABORATORIES_item_7_2017.npy,ABBOTT LABORATORIES,2017,1.3510868640565592
ABBOTT LABORATORIES_2018,data_embeddings\ABBOTT LABORATORIES\ABBOTT LABORATORIES_item_7_2018.npy,ABBOTT LABORATORIES,2018,1.2781279183245715
ABBOTT LABORATORIES_2019,data_embeddings\ABBOTT LABORATORIES\ABBOTT LABORATORIES_item_7_2019.npy,ABBOTT LABORATORIES,2019,1.1296936045352166
AbbVie Inc._2013,data_embeddings\AbbVie Inc\AbbVie Inc._item_7_2013.npy,AbbVie Inc.,2013,1.3982566838634856
AbbVie Inc._2014,data_embeddings\AbbVie Inc\AbbVie Inc._item_7_2014.npy,AbbVie Inc.,2014,1.2252121919313266
AbbVie Inc._2015,data_embeddings\AbbVie Inc\AbbVie Inc._item_7_2015.npy,AbbVie Inc.,2015,0.9349564282005541
AbbVie Inc._2016,data_embeddings\AbbVie Inc\AbbVie Inc._item_7_2016.npy,AbbVie Inc.,2016,1.181904397386803
AbbVie Inc._2017,data_embeddings\AbbVie Inc\AbbVie Inc._item_7_2017.npy,AbbVie Inc.,2017,1.9738525411586927
AbbVie Inc._2018,data_embeddings\AbbVie Inc\AbbVie Inc._item_7_2018.npy,AbbVie Inc.,2018,0.7043906701969145
AbbVie Inc._2019,data_embeddings\AbbVie Inc\AbbVie Inc._item_7_2019.npy,AbbVie Inc.,2019,1.137624586677875
ABERCROMBIE & FITCH CO _DE__2010,data_embeddings\ABERCROMBIE & FITCH CO _DE_\ABERCROMBIE & FITCH CO _DE__item_7_2010.npy,ABERCROMBIE & FITCH CO /DE/,2010,1.2601481581835685
ABERCROMBIE & FITCH CO _DE__2011,data_embeddings\ABERCROMBIE & FITCH CO _DE_\ABERCROMBIE & FITCH CO _DE__item_7_2011.npy,ABERCROMBIE & FITCH CO /DE/,2011,0.8849239820007282
ABERCROMBIE & FITCH CO _DE__2012,data_embeddings\ABERCROMBIE & FITCH CO _DE_\ABERCROMBIE & FITCH CO _DE__item_7_2012.npy,ABERCROMBIE & FITCH CO /DE/,2012,0.9151138260619164
ABERCROMBIE & FITCH CO _DE__2013,data_embeddings\ABERCROMBIE & FITCH CO _DE_\ABERCROMBIE & FITCH CO _DE__item_7_2013.npy,ABERCROMBIE & FITCH CO /DE/,2013,0.8194644236533468
ABIOMED INC_2019,data_embeddings\ABIOMED INC\ABIOMED INC_item_7_2019.npy,ABIOMED INC,2019,0.7849527657089486
Accenture plc_2011,data_embeddings\Accenture plc\Accenture plc_item_7_2011.npy,Accenture plc,2011,1.1940085565162564
Accenture plc_2013,data_embeddings\Accenture plc\Accenture plc_item_7_2013.npy,Accenture plc,2013,1.0889749310930503
Accenture plc_2014,data_embeddings\Accenture plc\Accenture plc_item_7_2014.npy,Accenture plc,2014,1.4077820631046176
Accenture plc_2015,data_embeddings\Accenture plc\Accenture plc_item_7_2015.npy,Accenture plc,2015,1.106042556129749
